State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
147000	-53200.3	0.973645	0.0226218	0.00373329	0.0273304	0.96933	0.00333963	0.00254353	0.0319886	0.965468	
148000	-53226.5	0.984711	0.0121295	0.00315932	0.013113	0.98668	0.000206829	0.0300776	0.114911	0.855011	
149000	-53219.4	0.991704	0.00427512	0.00402057	0.00829994	0.980478	0.0112216	0.00488653	0.0417625	0.953351	
150000	-53219.8	0.980473	0.015555	0.00397242	0.0132245	0.985274	0.00150117	0.0103924	0.0312727	0.958335	
151000	-53210.1	0.992085	0.0042478	0.00366677	0.00171692	0.99555	0.002733	0.0196064	0.00626654	0.974127	
152000	-53213.2	0.992519	0.00146011	0.00602121	0.00281109	0.983266	0.0139233	0.00221044	0.0307139	0.967076	
153000	-53216.6	0.992496	0.000807003	0.00669678	0.0078765	0.972777	0.0193461	0.00392666	0.0345764	0.961497	
154000	-53205.5	0.959273	0.0357624	0.00496473	0.00112461	0.998482	0.000393701	0.0421866	0.0284023	0.929411	
155000	-53238	0.988999	0.00791657	0.00308468	0.000466029	0.988316	0.0112178	0.017634	0.024717	0.957649	
156000	-53271.1	0.959046	0.0213226	0.0196313	0.0176002	0.982267	0.000133214	0.0392621	0.0440831	0.916655	
157000	-53261.4	0.956973	0.0238189	0.0192082	0.00834694	0.981664	0.00998884	0.000359447	0.021001	0.97864	
158000	-53256.9	0.959746	0.025048	0.0152059	0.0024324	0.985909	0.0116587	0.0710026	0.0715751	0.857422	
159000	-53293.7	0.990569	0.00215944	0.00727128	0.00043634	0.944102	0.0554616	0.0372417	0.0269134	0.935845	
160000	-53302.1	0.985449	0.00673466	0.00781647	0.00215383	0.98997	0.00787616	0.0244133	0.0774201	0.898167	
161000	-53323.8	0.989465	0.00739425	0.00314088	0.00237219	0.974007	0.0236207	0.0346918	0.0568706	0.908438	
162000	-53322.4	0.98548	0.0100677	0.00445197	0.00474787	0.992035	0.00321705	0.00885317	0.0341735	0.956973	
163000	-53301.8	0.975981	0.010786	0.0132334	0.0110646	0.986144	0.00279153	0.00166361	0.00974569	0.988591	
164000	-53274.6	0.987815	0.00387496	0.00831033	0.0261143	0.946727	0.0271584	0.0248237	0.00349203	0.971684	
165000	-53260.6	0.995208	0.00258363	0.00220807	0.0023911	0.994964	0.00264513	0.00914605	0.0178795	0.972974	
166000	-53237.3	0.972233	0.0222434	0.0055236	0.0103273	0.988387	0.00128584	0.0136635	0.0251094	0.961227	
167000	-53267.5	0.993659	0.000837104	0.00550404	7.50501e-05	0.979947	0.0199783	0.00830211	0.103182	0.888516	
168000	-53260.1	0.985534	0.0084449	0.00602128	0.0131612	0.974458	0.0123812	0.0132855	0.0101781	0.976536	
169000	-53252.2	0.984623	0.00660286	0.0087745	0.000445886	0.998462	0.00109187	0.0279476	0.0127876	0.959265	
170000	-53259.6	0.964472	0.0296368	0.00589087	0.00483551	0.981584	0.013581	0.0362188	0.018913	0.944868	
171000	-53199.7	0.988484	0.00741467	0.00410125	0.00934629	0.989912	0.000742047	0.0186735	0.00704897	0.974278	
172000	-53203.8	0.980829	0.00473397	0.0144371	0.00679012	0.991841	0.00136933	0.00314472	0.0799825	0.916873	
173000	-53182.1	0.992542	0.00512864	0.00232902	0.0200381	0.978278	0.00168398	0.093672	0.0261779	0.88015	
174000	-53148.5	0.997136	0.000690128	0.00217345	0.00309689	0.992014	0.00488952	0.0586729	0.0888699	0.852457	
175000	-53142.3	0.952565	0.0371942	0.0102404	0.00727929	0.98106	0.0116602	0.055915	0.044029	0.900056	
176000	-53132.1	0.988843	0.00133481	0.00982184	0.0033506	0.985814	0.0108354	0.0619561	0.114554	0.82349	
177000	-53116.4	0.980928	0.0174741	0.00159773	0.00132715	0.988795	0.00987825	0.0161524	0.0143035	0.969544	
178000	-53108.4	0.985263	0.00777598	0.00696085	0.0100195	0.971579	0.0184013	0.0412301	0.010755	0.948015	
179000	-53155	0.986257	0.0084687	0.00527422	0.00718286	0.985936	0.00688072	0.00774537	0.100219	0.892036	
180000	-53199.4	0.985205	0.00128687	0.0135083	0.000966397	0.998812	0.000222057	0.00909609	0.0282778	0.962626	
181000	-53172.3	0.987614	0.0024408	0.00994526	0.0138298	0.982364	0.00380581	0.0296821	0.0402957	0.930022	
182000	-53162.4	0.986355	0.000628676	0.0130159	0.0195712	0.930964	0.0494649	0.021066	0.03266	0.946274	
183000	-53196.9	0.96268	0.0233111	0.014009	0.00855737	0.991428	1.42359e-05	0.0303558	0.0500664	0.919578	
184000	-53196.2	0.977399	0.00138961	0.0212118	0.00257943	0.980606	0.0168142	0.0423366	0.0552065	0.902457	
185000	-53236.4	0.975976	0.00533439	0.0186894	0.0116269	0.981394	0.00697887	0.0542304	0.0197858	0.925984	
186000	-53244.1	0.95978	0.021286	0.018934	0.0123878	0.978441	0.00917152	0.009698	0.00328469	0.987017	
187000	-53286.1	0.982334	0.0073773	0.0102891	0.0506261	0.947614	0.0017598	0.0224517	0.00546052	0.972088	
188000	-53291.6	0.991081	0.00143279	0.00748573	0.0107114	0.976415	0.012874	0.0361909	0.0272236	0.936585	
189000	-53298.5	0.990052	0.00799103	0.00195732	0.00580401	0.987745	0.00645063	0.0551579	0.00834713	0.936495	
190000	-53283.1	0.963367	0.0205685	0.0160644	0.032601	0.96166	0.00573949	0.0119651	0.0316621	0.956373	
191000	-53239.8	0.996352	0.00289935	0.000748651	0.00412389	0.977457	0.0184189	0.015708	0.00570253	0.97859	
192000	-53257.8	0.971774	0.0154551	0.0127713	0.0129348	0.98101	0.0060557	0.0246585	0.00326326	0.972078	
193000	-53218.9	0.995924	0.00391083	0.000165495	0.0170432	0.981587	0.00137029	0.0185866	0.0296912	0.951722	
194000	-53219.7	0.992726	2.16225e-05	0.00725227	0.0123888	0.984839	0.00277208	0.00335314	0.0412332	0.955414	
195000	-53217.4	0.994403	0.0033442	0.00225237	0.00891909	0.982795	0.00828566	0.0466178	0.0265774	0.926805	
196000	-53221	0.989	0.010342	0.000658016	0.00342051	0.985066	0.0115137	0.0439054	0.0263708	0.929724	
197000	-53226.5	0.973774	0.0260813	0.00014502	0.0386983	0.960748	0.000553623	0.0161406	0.0251969	0.958663	
198000	-53210.5	0.992788	0.00362123	0.00359064	0.00485741	0.990111	0.0050315	0.0292915	0.0430367	0.927672	
199000	-53210.2	0.964905	0.000987705	0.0341074	0.00644102	0.962767	0.0307917	0.0227806	0.0596928	0.917527	
200000	-53203.3	0.984265	0.00510256	0.0106326	0.00880149	0.986368	0.0048301	0.0251805	0.015953	0.958867	
201000	-53241.6	0.973469	0.0051021	0.0214289	0.00705548	0.990021	0.00292359	0.0295164	0.0361432	0.93434	
202000	-53246.3	0.983122	0.0131211	0.00375708	0.00374644	0.953413	0.0428405	0.0214872	0.0111516	0.967361	
203000	-53240.7	0.97862	0.017646	0.00373353	0.00486369	0.989399	0.00573744	0.0742664	0.0450513	0.880682	
204000	-53279.2	0.96025	0.0318984	0.00785195	0.00373624	0.991658	0.00460544	0.0224442	0.000931988	0.976624	
205000	-53288.3	0.975521	0.0107606	0.0137185	0.0312207	0.965178	0.0036016	0.0570544	0.0246287	0.918317	
206000	-53295.8	0.995174	0.00248098	0.00234506	0.0119634	0.982062	0.0059744	0.00672167	0.0937869	0.899491	
207000	-53319.1	0.977455	0.0126696	0.00987507	0.0299684	0.954444	0.0155876	0.00638234	0.0636031	0.930015	
208000	-53332.9	0.964699	0.0283277	0.00697372	0.00330605	0.990463	0.00623138	0.0108554	0.00690778	0.982237	
209000	-53308.7	0.989184	0.00273453	0.00808194	0.00448779	0.994641	0.000871399	0.0486058	0.0163926	0.935002	
210000	-53271.8	0.994346	0.00549726	0.000157143	0.00267606	0.995981	0.00134335	0.107628	0.0180387	0.874334	
211000	-53244.1	0.980333	0.0140744	0.0055928	0.00187312	0.994573	0.003554	0.049587	0.0143441	0.936069	
212000	-53221.6	0.997696	0.0019552	0.000349036	0.0100033	0.979944	0.0100527	0.013585	0.033453	0.952962	
